%  number of nodes
101
%  number of vehicles
1
%  for each vehicle: vehicle index, home node, starting time, capacity
1,101,0,1
% number of calls
50
%  for each vehicle, vehicle index, and then a list of calls that can be transported using that vehicle
1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
% for each call: call index, origin node, destination node, size, cost of not transporting, lowerbound timewindow for pickup, upper_timewindow for pickup, lowerbound timewindow for delivery, upper_timewindow for delivery
1,1,2,0.07999999821186066,9999999999,0,999999999,0,9999999999
2,3,4,0.20000000298023224,9999999999,0,999999999,0,9999999999
3,5,6,0.23999999463558197,9999999999,0,999999999,0,9999999999
4,7,8,0.1599999964237213,9999999999,0,999999999,0,9999999999
5,9,10,0.23999999463558197,9999999999,0,999999999,0,9999999999
6,11,12,0.23999999463558197,9999999999,0,999999999,0,9999999999
7,13,14,0.36000001430511475,9999999999,0,999999999,0,9999999999
8,15,16,0.20000000298023224,9999999999,0,999999999,0,9999999999
9,17,18,0.3199999928474426,9999999999,0,999999999,0,9999999999
10,19,20,0.36000001430511475,9999999999,0,999999999,0,9999999999
11,21,22,0.36000001430511475,9999999999,0,999999999,0,9999999999
12,23,24,0.36000001430511475,9999999999,0,999999999,0,9999999999
13,25,26,0.03999999910593033,9999999999,0,999999999,0,9999999999
14,27,28,0.20000000298023224,9999999999,0,999999999,0,9999999999
15,29,30,0.20000000298023224,9999999999,0,999999999,0,9999999999
16,31,32,0.03999999910593033,9999999999,0,999999999,0,9999999999
17,33,34,0.36000001430511475,9999999999,0,999999999,0,9999999999
18,35,36,0.23999999463558197,9999999999,0,999999999,0,9999999999
19,37,38,0.3199999928474426,9999999999,0,999999999,0,9999999999
20,39,40,0.03999999910593033,9999999999,0,999999999,0,9999999999
21,41,42,0.20000000298023224,9999999999,0,999999999,0,9999999999
22,43,44,0.36000001430511475,9999999999,0,999999999,0,9999999999
23,45,46,0.11999999731779099,9999999999,0,999999999,0,9999999999
24,47,48,0.20000000298023224,9999999999,0,999999999,0,9999999999
25,49,50,0.1599999964237213,9999999999,0,999999999,0,9999999999
26,51,52,0.1599999964237213,9999999999,0,999999999,0,9999999999
27,53,54,0.20000000298023224,9999999999,0,999999999,0,9999999999
28,55,56,0.1599999964237213,9999999999,0,999999999,0,9999999999
29,57,58,0.1599999964237213,9999999999,0,999999999,0,9999999999
30,59,60,0.36000001430511475,9999999999,0,999999999,0,9999999999
31,61,62,0.07999999821186066,9999999999,0,999999999,0,9999999999
32,63,64,0.07999999821186066,9999999999,0,999999999,0,9999999999
33,65,66,0.2800000011920929,9999999999,0,999999999,0,9999999999
34,67,68,0.20000000298023224,9999999999,0,999999999,0,9999999999
35,69,70,0.1599999964237213,9999999999,0,999999999,0,9999999999
36,71,72,0.1599999964237213,9999999999,0,999999999,0,9999999999
37,73,74,0.3199999928474426,9999999999,0,999999999,0,9999999999
38,75,76,0.07999999821186066,9999999999,0,999999999,0,9999999999
39,77,78,0.3199999928474426,9999999999,0,999999999,0,9999999999
40,79,80,0.03999999910593033,9999999999,0,999999999,0,9999999999
41,81,82,0.3199999928474426,9999999999,0,999999999,0,9999999999
42,83,84,0.20000000298023224,9999999999,0,999999999,0,9999999999
43,85,86,0.3199999928474426,9999999999,0,999999999,0,9999999999
44,87,88,0.2800000011920929,9999999999,0,999999999,0,9999999999
45,89,90,0.1599999964237213,9999999999,0,999999999,0,9999999999
46,91,92,0.20000000298023224,9999999999,0,999999999,0,9999999999
47,93,94,0.03999999910593033,9999999999,0,999999999,0,9999999999
48,95,96,0.20000000298023224,9999999999,0,999999999,0,9999999999
49,97,98,0.03999999910593033,9999999999,0,999999999,0,9999999999
50,99,100,0.03999999910593033,9999999999,0,999999999,0,9999999999
%  travel times and costs: vehicle, origin node, destination node, travel time (in hours), travel cost (in ?)
1,1,1,0.0,0.0
1,1,2,0.42340981053550414,0.42340981053550414
1,1,3,0.6532127786225013,0.6532127786225013
1,1,4,0.6797362412360813,0.6797362412360813
1,1,5,0.5893221897612885,0.5893221897612885
1,1,6,0.44284316098035703,0.44284316098035703
1,1,7,0.7166423474332885,0.7166423474332885
1,1,8,0.5982543770371621,0.5982543770371621
1,1,9,0.5991386536834267,0.5991386536834267
1,1,10,0.5377182005472336,0.5377182005472336
1,1,11,0.7819483590092328,0.7819483590092328
1,1,12,0.5051163630280556,0.5051163630280556
1,1,13,0.552248750445372,0.552248750445372
1,1,14,0.828858831432957,0.828858831432957
1,1,15,0.6552924652161493,0.6552924652161493
1,1,16,0.5617536860525312,0.5617536860525312
1,1,17,0.29879417463047714,0.29879417463047714
1,1,18,0.6927946740244092,0.6927946740244092
1,1,19,0.8442370631916386,0.8442370631916386
1,1,20,0.5969200915891485,0.5969200915891485
1,1,21,0.7628172995771727,0.7628172995771727
1,1,22,0.05347344069942938,0.05347344069942938
1,1,23,0.4632542089859669,0.4632542089859669
1,1,24,0.5495055973783067,0.5495055973783067
1,1,25,0.3935320089315883,0.3935320089315883
1,1,26,0.6859359858431106,0.6859359858431106
1,1,27,0.7455437066582351,0.7455437066582351
1,1,28,0.8112884596446308,0.8112884596446308
1,1,29,0.4394361925130723,0.4394361925130723
1,1,30,0.7846392936731426,0.7846392936731426
1,1,31,0.8404063907886044,0.8404063907886044
1,1,32,0.3336719405499161,0.3336719405499161
1,1,33,0.6514595281555704,0.6514595281555704
1,1,34,0.17228764657309578,0.17228764657309578
1,1,35,0.38362613280648233,0.38362613280648233
1,1,36,0.2324759602403013,0.2324759602403013
1,1,37,0.4953753984483135,0.4953753984483135
1,1,38,0.7123927967933517,0.7123927967933517
1,1,39,0.8705980839358242,0.8705980839358242
1,1,40,0.7425093673468754,0.7425093673468754
1,1,41,1.0829636595077057,1.0829636595077057
1,1,42,0.5745423352332959,0.5745423352332959
1,1,43,0.6007186481737701,0.6007186481737701
1,1,44,0.7797555056361574,0.7797555056361574
1,1,45,0.7706398064466039,0.7706398064466039
1,1,46,0.33930437958912313,0.33930437958912313
1,1,47,0.8872297186269684,0.8872297186269684
1,1,48,0.0725974603321803,0.0725974603321803
1,1,49,0.3960937846789455,0.3960937846789455
1,1,50,0.4004200933683397,0.4004200933683397
1,1,51,0.623652993181416,0.623652993181416
1,1,52,0.4424403476179877,0.4424403476179877
1,1,53,0.7620597765912709,0.7620597765912709
1,1,54,0.5105180565312364,0.5105180565312364
1,1,55,0.5651248380471134,0.5651248380471134
1,1,56,0.5919899979911147,0.5919899979911147
1,1,57,0.5713747123721848,0.5713747123721848
1,1,58,0.3878353717649232,0.3878353717649232
1,1,59,0.5309799654086161,0.5309799654086161
1,1,60,0.1377703675216359,0.1377703675216359
1,1,61,0.13307071956683042,0.13307071956683042
1,1,62,0.3236449668428691,0.3236449668428691
1,1,63,0.3759763600459335,0.3759763600459335
1,1,64,0.09069028291741538,0.09069028291741538
1,1,65,0.530367767195479,0.530367767195479
1,1,66,1.053285862052091,1.053285862052091
1,1,67,0.17178872250849517,0.17178872250849517
1,1,68,0.3707802925814022,0.3707802925814022
1,1,69,0.4254052143435544,0.4254052143435544
1,1,70,1.0132454666698105,1.0132454666698105
1,1,71,0.23048195969532378,0.23048195969532378
1,1,72,0.37315177788885034,0.37315177788885034
1,1,73,0.6956259155847929,0.6956259155847929
1,1,74,0.6222357450424901,0.6222357450424901
1,1,75,0.6590374733383102,0.6590374733383102
1,1,76,0.050882973536409366,0.050882973536409366
1,1,77,0.5579878748823837,0.5579878748823837
1,1,78,0.6730054570498284,0.6730054570498284
1,1,79,0.7175578654820385,0.7175578654820385
1,1,80,0.6996353847272666,0.6996353847272666
1,1,81,0.33920854952949847,0.33920854952949847
1,1,82,1.0183610087823423,1.0183610087823423
